id,issuetype,key,assignee,priority,status,resolution,sprint,originalestimate,timespent,rca
298554,Improvement,PREDM-1699,henry.hom,P1 - Urgent with no workaround,Closed-Verified,Fixed,"Sprint 243 (SEP 03 - SEP 16),Sprint 244 (SEP 17 - SEP 30),Sprint 245 (OCT 01 - OCT 14)",43200,14400,None
287837,Improvement,PREDM-1690,skandh.pathak,P1 - Urgent with no workaround,Closed,Fixed,Sprint 243 (SEP 03 - SEP 16),7200,7200,None
311152,Improvement,IO-1014,skandh.pathak,P1 - Urgent with no workaround,Closed-Verified,Fixed,Sprint 245 (OCT 01 - OCT 14),14400,14400,None
304266,Improvement,IO-1029,jinyan.liu,P1 - Urgent with no workaround,Closed,Fixed,Sprint 245 (OCT 01 - OCT 14),14400,14400,None
137971,Epic,ENGR-1012,chen.liu,P1 - Urgent with no workaround,Open,,2017 Engineering Plan,,,
140097,Improvement,IO-181,chen.liu,P1 - Urgent with no workaround,Open,,2017 Engineering Plan,,,
306143,Bug,ENGR-2451,skandh.pathak,P0 - Blocker,Closed-Verified,Fixed,Sprint 245 (OCT 01 - OCT 14),28800,28800,"So far all the failing tests were inside a nested it block which is why they didn't execute. Some tests were failing since they were defined on the wrong type. Others were trying to test metrics that no longer exist (Level1QoSCompositeNode, Level1QoSBranchNode, LocalizedFaultCompositeNode, LocalizedFaultBranchNode). As of now the describe block ""metrics"" has 7 failures and is currently disabled. ENGR-2465 has been created to fix these issues."
307246,Bug,BUILD-18377,mohamad.arabi,P0 - Blocker,Closed-Verified,No longer applicable,"Sprint 245 (OCT 01 - OCT 14),Sprint 246 (OCT 15 - OCT 28)",,,None
313296,Bug,BUILD-18647,skandh.pathak,P0 - Blocker,Closed-Verified,Fixed,Sprint 246 (OCT 15 - OCT 28),14400,14400,"the test counted the number of rows in a grid immediately after closing a modal(that deleted an element). Therefore the test would fail if the grid wasn't updated in between the modal closing and skywalker counting the number of rows. I added a waitForAjax() that allows the fetch requests to complete before counting the updated number of rows. Also, i made the selector for table rows more specific so ensure we don't count rows in page-cache div"
290227,Bug,BUILD-14802,henry.hom,P1 - Urgent with no workaround,Closed-Verified,Fixed,"Sprint 241 (AUG 06 - AUG 19),Sprint 242 (AUG 20 - SEP 02 )",,,Test was fixed in develop branch. Ticket was closed because test is no longer flipping.
285986,Bug,BUILD-13888,chen.liu,P0 - Blocker,Closed,Fixed,Sprint 241 (AUG 06 - AUG 19),14400,14400,"The issue was that Menu from left panel on the page covered the home link, i.e., on top of home link, and the link was not clickable. I put a fix which is to click ""body"" element before clicking the home link, and verified that it works."
316440,Epic,ENGR-2544,henry.hom,"P2 - Critical, but workaround exists",To Do,,Sprint 247 (OCT 29 - NOV 11),,,None
287644,New Feature,RESSMB-7333,chen.liu,P1 - Urgent with no workaround,Closed,Done,Sprint 243 (SEP 03 - SEP 16),14400,32400,None
295769,New Feature,RESSMB-7335,jinyan.liu,P1 - Urgent with no workaround,Closed-Verified,Fixed,"Sprint 243 (SEP 03 - SEP 16),Sprint 244 (SEP 17 - SEP 30)",14400,14400,None
276727,Task,BUILD-14062,chen.liu,P0 - Blocker,Closed-Verified,No longer applicable,Sprint 241 (AUG 06 - AUG 19),0,,None
288947,Bug,BUILD-16647,jinyan.liu,P0 - Blocker,Closed,Duplicate,Sprint 243 (SEP 03 - SEP 16),,,None
282057,Task,RESSMB-7123,skandh.pathak,"P2 - Critical, but workaround exists",Closed,No longer applicable,Sprint 242 (AUG 20 - SEP 02 ),14400,1800,
271876,Task,RESSMB-7182,chen.liu,"P2 - Critical, but workaround exists",Closed,Fixed,Sprint 241 (AUG 06 - AUG 19),7200,10800,None
282100,Task,RESSMB-7271,mohamad.arabi,P1 - Urgent with no workaround,Closed,Fixed,Sprint 242 (AUG 20 - SEP 02 ),18000,7200,None
276252,Task,RESSMB-7260,chen.liu,P1 - Urgent with no workaround,Closed-Verified,Fixed,Sprint 241 (AUG 06 - AUG 19),14400,39600,None
313194,Improvement,ENGR-2549,jinyan.liu,P1 - Urgent with no workaround,Closed-Verified,Fixed,Sprint 246 (OCT 15 - OCT 28),7200,7200,None
304460,Improvement,ENGR-2437,jinyan.liu,P1 - Urgent with no workaround,Closed,Fixed,Sprint 245 (OCT 01 - OCT 14),14400,14400,None
307256,Bug,BUILD-18380,mohamad.arabi,P0 - Blocker,Closed-Verified,No longer applicable,"Sprint 245 (OCT 01 - OCT 14),Sprint 246 (OCT 15 - OCT 28)",,,None
321270,New Feature,IO-1140,skandh.pathak,P1 - Urgent with no workaround,Resolved,Fixed,Sprint 247 (OCT 29 - NOV 11),21600,21600,None
300113,Improvement,IO-946,mohamad.arabi,P1 - Urgent with no workaround,Closed-Verified,Fixed,Sprint 244 (SEP 17 - SEP 30),14400,14400,None
325778,Improvement,IO-1035,jinyan.liu,P1 - Urgent with no workaround,Closed-Verified,Fixed,Sprint 247 (OCT 29 - NOV 11),10800,3600,None
290431,Bug,LCI-2600,skandh.pathak,P1 - Urgent with no workaround,Closed-Verified,Fixed,Sprint 242 (AUG 20 - SEP 02 ),36000,25200,This error was caused to a combination of 1. incorrect config in c3ui file 2. logic error in the ui component (javascript)
318755,Bug,BUILD-19733,henry.hom,P0 - Blocker,Closed,Fixed,"Sprint 246 (OCT 15 - OCT 28),Sprint 247 (OCT 29 - NOV 11)",14400,10800,"Forced renomalization on PointPhysicalMeasurementSeries. The call was present before, however it was not being forced which could cause it to fail occasionally."
289055,Task,ENGR-2307,henry.hom,Unprioritized,Closed-Verified,Fixed,Sprint 243 (SEP 03 - SEP 16),28800,28800,None
312143,Bug,BUILD-18466,skandh.pathak,P0 - Blocker,Closed-Verified,Cannot Reproduce,"Sprint 245 (OCT 01 - OCT 14),Sprint 246 (OCT 15 - OCT 28)",14400,14400,"From the error message it looks like the stored calc field resources on BillingAccount didn't get refreshed when the resource on ServicePoint was updated which caused the test to fail. I ran the test locally and monitored the invalidation queues (CalcFieldQueue and MetricDepQueue), everything is working as expected. I then ran the test 100 times using jasmine test runner and it passed every time. Closing it as could not reproduce."
292451,Bug,BUILD-15592,henry.hom,P0 - Blocker,Closed-Verified,Fixed,Sprint 242 (AUG 20 - SEP 02 ),14400,14400,"Due to Schema update, test had been modified until update was finished. Once completed, test began to get data back again. We had to reenable portion that was disabled and removed portion of code that was put in as a temporary measure until service was up and running again."
311268,Bug,BUILD-18385,mohamad.arabi,P0 - Blocker,Closed-Verified,No longer applicable,"Sprint 245 (OCT 01 - OCT 14),Sprint 246 (OCT 15 - OCT 28)",,,None
322248,Bug,ENGR-2476,mohamad.arabi,P0 - Blocker,Closed,Fixed,Sprint 247 (OCT 29 - NOV 11),9000,12000,"There were 2 issues: The nested it blocks were never running and were discovered when Jasmine was upgraded. The other issue is the it blocks if they were running they would be failing, due to error in the path of the metric being tested. Fixed metric path and un-nested the it blocks."
322298,Outage,IO-1132,jinyan.liu,P0 - Blocker,Closed-Verified,Fixed,Sprint 247 (OCT 29 - NOV 11),10800,10800,None
328572,Epic,ENGR-2552,skandh.pathak,P1 - Urgent with no workaround,To Do,,"Sprint 246 (OCT 15 - OCT 28),Sprint 247 (OCT 29 - NOV 11)",,,None
275115,Task,BUILD-14813,chen.liu,P0 - Blocker,Closed,Deferred,Sprint 241 (AUG 06 - AUG 19),21600,36000,None
288353,New Feature,RESSMB-7330,skandh.pathak,Unprioritized,Closed-Verified,No longer applicable,Sprint 243 (SEP 03 - SEP 16),0,,None
294457,Improvement,LCI-2686,henry.hom,P1 - Urgent with no workaround,Closed-Verified,Fixed,Sprint 244 (SEP 17 - SEP 30),3600,3600,None
300592,Bug,IO-987,mohamad.arabi,P1 - Urgent with no workaround,Closed-Verified,Fixed,Sprint 244 (SEP 17 - SEP 30),50400,51600,The metric didn't filter on data that is only after LastNetInventoryUpdate. Fixed metric by returning null for dates before LastNetInventoryUpdate.
283645,New Feature,RESSMB-7282,skandh.pathak,P1 - Urgent with no workaround,Closed-Verified,Fixed,Sprint 241 (AUG 06 - AUG 19),21600,16200,None
272433,New Feature,RESSMB-7288,henry.hom,P1 - Urgent with no workaround,Closed-Verified,No longer applicable,Sprint 241 (AUG 06 - AUG 19),0,,None
141692,Task,TOOLS-3755,chen.liu,P1 - Urgent with no workaround,Open,,2017 Engineering Plan,10800,,
312137,Improvement,ENGR-2443,jinyan.liu,P1 - Urgent with no workaround,Closed-Verified,Fixed,"Sprint 245 (OCT 01 - OCT 14),Sprint 246 (OCT 15 - OCT 28)",12600,30600,None
295239,Bug,EXC-15393,jinyan.liu,"P2 - Critical, but workaround exists",Closed-Verified,Fixed,Sprint 244 (SEP 17 - SEP 30),14400,14400,None
304387,Bug,PREDM-1745,skandh.pathak,P1 - Urgent with no workaround,Closed-Verified,Fixed,Sprint 245 (OCT 01 - OCT 14),18000,18000,The tests were disabled since the ui components being tested in those skywalker tests were not fixed yet. The tests have been enabled now that those components have been fixed. test_dashboardPage and test_workOrdersPage fixed in [https://github.com/c3-e/c3base/pull/7603]. test_RiskPredictionPage fixed in [https://github.com/c3-e/c3base/pull/7598]
309612,Improvement,PREDM-1727,skandh.pathak,P1 - Urgent with no workaround,Closed-Verified,Fixed,Sprint 245 (OCT 01 - OCT 14),14400,14400,The chart was not showing up since it was configured to show avg risk scores of only parent assets and we didn't have any parent assets with a non-empty risk score. The fix was to re-define a field on BaseAsset called avgRiskScore as a stored calc equal to the average of latest risk scores of all the children of that {@link BaseAsset}. For assets with no children it is 0.
316855,Improvement,IO-1111,mohamad.arabi,P1 - Urgent with no workaround,Resolved,Fixed,"Sprint 246 (OCT 15 - OCT 28),Sprint 247 (OCT 29 - NOV 11)",14400,9000,None
322449,Improvement,LCI-2757,jinyan.liu,P1 - Urgent with no workaround,In Progress,,Sprint 247 (OCT 29 - NOV 11),14400,7200,None
284130,New Feature,DEV-2356,jinyan.liu,P1 - Urgent with no workaround,Resolved,Fixed,"Sprint 242 (AUG 20 - SEP 02 ),Sprint 235 (MAY 14 - MAY 27),Sprint 236 (MAY 28 - JUN 10),Sprint 237 (JUN 11 - JUN 24),Sprint 238 (JUN 25 - JUL 08),Sprint 239 (JUL 09 - JUL 22),Sprint 240 (JUL 23 - AUG 05),Sprint 241 (AUG 06 - AUG 19)",21600,25200,None
282714,New Feature,RESSMB-7284,skandh.pathak,P1 - Urgent with no workaround,Closed-Verified,Fixed,Sprint 241 (AUG 06 - AUG 19),21600,14400,None
290391,Bug,RESSMB-7321,skandh.pathak,P1 - Urgent with no workaround,Closed-Verified,Fixed,Sprint 242 (AUG 20 - SEP 02 ),7200,7200,This failure was caused due to a timeout. increasing the wait time for setup fixed this failure.
269009,New Feature,RESSMB-7266,henry.hom,P1 - Urgent with no workaround,Closed-Verified,No longer applicable,Sprint 241 (AUG 06 - AUG 19),21600,3600,None
288535,Bug,LCI-2616,mohamad.arabi,P1 - Urgent with no workaround,Closed-Verified,Fixed,Sprint 243 (SEP 03 - SEP 16),28800,32400,"The upload feature, namely the `UIActionShowContentModal ` ui component had no test coverage. It was failing due to components as type migration, but was never caught in any tests. issue: component was being initialized using old ui lifecycle."
316101,New Feature,PREDM-1764,skandh.pathak,P1 - Urgent with no workaround,Closed-Verified,Fixed,Sprint 246 (OCT 15 - OCT 28),21600,25200,None
321996,Improvement,ENGR-2612,jinyan.liu,P1 - Urgent with no workaround,Closed,Fixed,Sprint 247 (OCT 29 - NOV 11),28800,39600,None
315871,Bug,EXC-15729,skandh.pathak,P1 - Urgent with no workaround,Closed-Verified,Fixed,Sprint 246 (OCT 15 - OCT 28),3600,3600,duplicate types were causing the error as mentioned in the description. i renamed both the types to fix it.
293093,Task,ENGR-2386,chen.liu,P1 - Urgent with no workaround,Closed,Done,Sprint 244 (SEP 17 - SEP 30),21600,25200,None
299107,Improvement,ENGR-2442,chen.liu,P1 - Urgent with no workaround,Closed,Done,Sprint 245 (OCT 01 - OCT 14),10800,10800,None
297810,Improvement,ENGR-2329,skandh.pathak,P1 - Urgent with no workaround,Closed-Verified,Fixed,Sprint 244 (SEP 17 - SEP 30),14400,10800,None
322255,New Feature,LCI-2744,mohamad.arabi,P1 - Urgent with no workaround,Closed,Fixed,Sprint 247 (OCT 29 - NOV 11),3600,7200,None
297059,New Feature,ENGR-2270,mohamad.arabi,P1 - Urgent with no workaround,Closed-Verified,Fixed,"Sprint 242 (AUG 20 - SEP 02 ),Sprint 244 (SEP 17 - SEP 30)",14400,10200,None
303957,Improvement,PREDM-1737,skandh.pathak,P1 - Urgent with no workaround,Closed-Verified,Fixed,Sprint 245 (OCT 01 - OCT 14),14400,14400,None
305471,Bug,PREDM-1718,mohamad.arabi,P1 - Urgent with no workaround,Closed-Verified,Fixed,Sprint 245 (OCT 01 - OCT 14),14400,43200,"There was no filter on the data scource to include only assets that have a risk score. The map was coloring the map markers based on risk score. To solve, added a a filter to datascource"
317434,Improvement,IO-1034,henry.hom,P1 - Urgent with no workaround,Closed,Fixed,"Sprint 246 (OCT 15 - OCT 28),Sprint 247 (OCT 29 - NOV 11)",14400,28800,None
316389,Improvement,IO-1084,mohamad.arabi,P1 - Urgent with no workaround,Resolved,Fixed,"Sprint 246 (OCT 15 - OCT 28),Sprint 247 (OCT 29 - NOV 11)",14400,20700,None
327812,New Feature,IO-1049,jinyan.liu,P1 - Urgent with no workaround,Closed-Verified,Fixed,Sprint 246 (OCT 15 - OCT 28),14400,10800,None
320138,Improvement,IO-1110,mohamad.arabi,P1 - Urgent with no workaround,Resolved,Fixed,"Sprint 246 (OCT 15 - OCT 28),Sprint 247 (OCT 29 - NOV 11)",7200,10800,None
308638,New Feature,IO-971,henry.hom,P1 - Urgent with no workaround,Closed,Fixed,Sprint 245 (OCT 01 - OCT 14),28800,57600,None
318962,New Feature,ENGR-2539,jinyan.liu,P1 - Urgent with no workaround,Closed-Verified,Fixed,Sprint 246 (OCT 15 - OCT 28),10800,7200,None
304346,Improvement,IO-1091,jinyan.liu,P1 - Urgent with no workaround,Closed,Fixed,Sprint 245 (OCT 01 - OCT 14),1800,1800,None
308358,Improvement,IO-1068,jinyan.liu,P1 - Urgent with no workaround,Closed,Fixed,Sprint 245 (OCT 01 - OCT 14),1800,1800,None
304870,Improvement,IO-1081,henry.hom,P1 - Urgent with no workaround,Closed,Fixed,Sprint 245 (OCT 01 - OCT 14),1200,1200,None
310302,Improvement,IO-1067,jinyan.liu,P1 - Urgent with no workaround,Closed,Fixed,Sprint 245 (OCT 01 - OCT 14),1800,1800,None
138398,Epic,ENGR-1367,chen.liu,P1 - Urgent with no workaround,Closed,Duplicate,2017 Engineering Plan,,,
145108,Improvement,ENGR-1402,chen.liu,P1 - Urgent with no workaround,Open,,2017 Engineering Plan,,,
281804,Task,RESSMB-7264,mohamad.arabi,P1 - Urgent with no workaround,Closed,Fixed,Sprint 242 (AUG 20 - SEP 02 ),18000,41400,None
317431,New Feature,LCI-2752,henry.hom,Unprioritized,Open,,Sprint 247 (OCT 29 - NOV 11),7200,,None
292262,Improvement,LCI-2596,jinyan.liu,"P2 - Critical, but workaround exists",Closed-Verified,Fixed,Sprint 243 (SEP 03 - SEP 16),28800,28800,None
311906,New Feature,ENGR-2537,jinyan.liu,P1 - Urgent with no workaround,Closed-Verified,Fixed,Sprint 246 (OCT 15 - OCT 28),3600,3600,None
289115,Improvement,PREDM-1706,skandh.pathak,P1 - Urgent with no workaround,Closed,Fixed,Sprint 243 (SEP 03 - SEP 16),57600,64800,None
306105,Improvement,IO-1083,jinyan.liu,P1 - Urgent with no workaround,Closed,Fixed,Sprint 245 (OCT 01 - OCT 14),14400,14400,None
303587,Task,IO-1072,mohamad.arabi,P1 - Urgent with no workaround,Closed,No longer applicable,Sprint 245 (OCT 01 - OCT 14),,,None
297540,Improvement,ENGR-2382,jinyan.liu,P1 - Urgent with no workaround,Closed-Verified,Fixed,Sprint 244 (SEP 17 - SEP 30),14400,7200,None
133885,Epic,ENGR-1304,chen.liu,P1 - Urgent with no workaround,Open,,2017 Engineering Plan,,,
272044,Task,RESSMB-7262,chen.liu,P1 - Urgent with no workaround,Closed-Verified,Fixed,Sprint 241 (AUG 06 - AUG 19),18000,1800,None
318012,Improvement,ENGR-2523,jinyan.liu,P1 - Urgent with no workaround,Closed,Fixed,Sprint 246 (OCT 15 - OCT 28),10800,3600,None
290458,Task,RESSMB-7257,henry.hom,P1 - Urgent with no workaround,Closed-Verified,Fixed,"Sprint 242 (AUG 20 - SEP 02 ),Sprint 243 (SEP 03 - SEP 16)",14400,14400,None
283596,Improvement,RESSMB-7313,skandh.pathak,P1 - Urgent with no workaround,Closed-Verified,Fixed,Sprint 242 (AUG 20 - SEP 02 ),25200,10800,None
273077,Task,BUILD-14468,chen.liu,P0 - Blocker,Closed-Verified,Done,Sprint 241 (AUG 06 - AUG 19),7200,10800,None
286139,Bug,BUILD-16338,chen.liu,P0 - Blocker,Closed,Fixed,Sprint 243 (SEP 03 - SEP 16),,3600,This flipper was caused by the fact that the element was not clickable because it was obscured by menu element. The fix is to click the position close to bottom-right corner of the element.
284471,New Feature,TRAIN-428,jinyan.liu,P0 - Blocker,Closed-Verified,Fixed,Sprint 242 (AUG 20 - SEP 02 ),28800,32400,None
287819,Task,TRAIN-417,jinyan.liu,Unprioritized,Closed,Fixed,Sprint 241 (AUG 06 - AUG 19),7200,7200,None
294553,Task,ENGR-2378,jinyan.liu,P1 - Urgent with no workaround,Closed-Verified,Fixed,Sprint 244 (SEP 17 - SEP 30),7200,7200,None
324041,Improvement,IO-1107,jinyan.liu,P1 - Urgent with no workaround,Closed-Verified,Fixed,Sprint 247 (OCT 29 - NOV 11),10800,10800,None
276708,Task,BUILD-14061,mohamad.arabi,P0 - Blocker,Closed-Verified,Fixed,Sprint 241 (AUG 06 - AUG 19),14400,9000,The test did not fail when running 15 jenkins builds on it. No changes made
321815,Improvement,IO-1126,mohamad.arabi,P1 - Urgent with no workaround,Closed,Fixed,Sprint 247 (OCT 29 - NOV 11),7200,8400,None
318040,Improvement,IO-1131,mohamad.arabi,Unprioritized,Resolved,Fixed,Sprint 247 (OCT 29 - NOV 11),14400,9000,None
275102,Task,LCI-2593,mohamad.arabi,P1 - Urgent with no workaround,Closed-Verified,Fixed,Sprint 241 (AUG 06 - AUG 19),10800,10800,None
